company,tel,industry
株式会社カンサイロジック,075-981-7475,ミライユ（ドライバー）
株式会社タカロジ,0287-96-2057,ミライユ（ドライバー）
株式会社ハート引越センター 多摩センター,042-678-7681,ミライユ（ドライバー）
株式会社パルシステム・イースト,0297-38-5031,ミライユ（ドライバー）
株式会社ヒューテックノオリン 埼玉支店 病院・店舗食材センター,048-792-2361,ミライユ（ドライバー）
株式会社ヒューテックノオリン 東京臨海支店 第二センター,044-280-3621,ミライユ（ドライバー）
株式会社中原屋,044-522-4343,ミライユ（ドライバー）
株式会社旅館ランドリー,044-588-0481,ミライユ（ドライバー）
協業組合仙台清掃公社,022-284-6661,ミライユ（ドライバー）
日通千葉南流通サービス株式会社,0436-43-2487,ミライユ（ドライバー）
富国運輸株式会社  本店,045-211-2086,ミライユ（ドライバー）
有限会社共栄運輸,01558-2-5551,ミライユ（ドライバー）
