,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78576,株式会社CaptデイサポートMAHALO羽島,,058-322-5031,岐阜県羽島市正木町曲利843,https://xn--pckua2a7gp15o89zb.com/jb/053145da94f16c86ec2edad7e90f6460,,介護職・ヘルパー／デイサービス,ビイサイド（介護）,,,,,,,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">正社員</li>",,,,,,,,,,,
589036,株式会社CaptデイサポートMAHALO羽島,,058-322-5031,岐阜県羽島市正木町曲利843,https://xn--pckua2a7gp15o89zb.com/jb/053145da94f16c86ec2edad7e90f6460,,介護職・ヘルパー／デイサービス,G&G（介護）,,,,,,介護,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">正社員</li>",,,,,,,,,,,
593235,株式会社CaptデイサポートMAHALO羽島,,058-322-5031,岐阜県羽島市正木町曲利843,https://xn--pckua2a7gp15o89zb.com/jb/053145da94f16c86ec2edad7e90f6460,,介護職・ヘルパー／デイサービス,SOUND（介護）,,,,,,介護,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">正社員</li>",,,,,,,,,,,
769153,株式会社CareNation ブルーミングケア ペルメールケアケアフィットルーム,,0742-93-5711,奈良県奈良市六条2丁目4－8,https://carenation.jp/,https://xn--pckua2a7gp15o89zb.com/jb/e5b20f5de6635f1c50affb57dc981586,新卒採用／介護職員・生活相談員,ジョイスリー（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
356117,株式会社CareNation ペルメールケア奈良六条,,0742-93-5710,奈良県奈良市六条2丁目4-8,https://carenation.jp/,https://jp.indeed.com/rc/clk?jk=12547720e0bdf80b&fccid=2a720c58c18e1f2f&vjs=3,介護職員,FUJI（介護）,,礒部　孝浩,630-8043,,,介護サービス,,,,,,,,,,,,,,,,
769140,株式会社CareNation　ペルメールケア奈良六条,,0742-93-5710,奈良県奈良市六条２丁目４−６,https://carenation.jp/,https://xn--pckua2a7gp15o89zb.com/jb/1e6032a4f7e5450a5339d2048d129eb1,新卒採用／介護職員・生活相談員,ジョイスリー（介護）, , ,,,,介護,デイサービス・デイケア,,,,正社員,,,,,,,,,,,
86355,株式会社Carenationケアフィットルー...,,052-899-3566,愛知県名古屋市緑区滝ノ水4-2617,https://xn--pckua2a7gp15o89zb.com/jb/7c07997dbbfe4826aefdef5d2eec6440,https://carenation.jp/,ご利用者様や家族からの介護相談窓口,ビイサイド（介護）,,,,260,"1,000万",,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">アルバイト・パート</li>",,,,,,,,,,,
769158,株式会社CareNationブルーミングケア デイサービス南妙法寺亭,,0744-47-4587,奈良県橿原市南妙法寺町3-8,https://carenation.jp/,https://xn--pckua2a7gp15o89zb.com/jb/e4cab344bd8d2d80f70dd23cde06b279,新卒採用／介護職員・生活相談員,ジョイスリー（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
930632,株式会社CherryBlossom　訪問介護ステーションさくら,,072-915-3960,大阪府八尾市田井中三丁目66番地, ,https://xn--pckua2a7gp15o89zb.com/jb/3a8a2a1d6f4e44e01802c4f5526af0c5,訪問介護士,ニューアース（介護）, , ,,,,介護,訪問介護,,,,正社員,,,,,,,,,,,
769102,株式会社CLAN　クランコート奈良参番館,,06-6538-3311,奈良県奈良市三条大路3丁目, https://clan-net.jp/,https://xn--pckua2a7gp15o89zb.com/jb/0a35376f5bb108a74061429495622201,介護職,ジョイスリー（介護）, , ,,,,介護,老人ホーム・介護福祉施設,,,,正社員,,,,,,,,,,,
131829,株式会社CLANクランコート平野,,06-6538-3311,大阪府大阪市平野区長吉六反4-1-26,https://jp.indeed.com/rc/clk?jk=b671549e009368d0&fccid=f6d632ccdca5229d&vjs=3,https://clan-net.jp/,[正社員]介護スタッフ(実務者研修)新着,圏友（介護）,,太田　篤史,547-0012,508,,,,,,,正社員,,,,,,,,,,,
769951,株式会社CRAS　小規模多機能型居宅介護わたげ,,0868-44-7707,岡山県苫田郡鏡野町上齋原５２６−７, https://www.cras-ltd.com/service_cotton.htm,https://xn--pckua2a7gp15o89zb.com/jbn/c91256012389443202ccefa704abad35,介護職・ヘルパー／小規模多機能型居宅介護／高額求人／資格・経験不問,ジョイスリー（介護）, , ,,,,介護,小規模多機能型居宅介護,,,,正社員,,,,,,,,,,,
93105,株式会社D-CUBEわくわくデイサービス夕陽丘,,06-6773-6241,大阪市天王寺区真法院町6-12JNビル1階,https://xn--pckua2a7gp15o89zb.com/jb/9b53c7414f1f260005bfb3e3be9bf022,https://www.hog.co.jp/dcube/info/detail_01.php,デイサービス介護職日勤のみ,ビイサイド（介護）,,,,,,,,,,,正社員,,,,,,,,,,,
91168,株式会社D-CUBEわくわくデイサービス永和,,06-6727-0225,大阪府東大阪市永和1-23-2,https://xn--pckua2a7gp15o89zb.com/jb/d53ba7f74828b8430bb436ad10ca1501,https://www.hog.co.jp/,デイサービスの介護職週2～OK,ビイサイド（介護）,,,,,通所介護事業所,,,,,,アルバイト・パート,,,,,,,,,,,
759257,株式会社DAIKAN 明和ふれあいガーデン,,0287-83-8735,栃木県那須烏山市小木須2659-2,https://www.fureai-garden.com/,https://xn--pckua2a7gp15o89zb.com/jb/3792a62397f95962263b60360c5ebe38,介護付有料での介護職員,SOUND（介護）, , ,,,,介護,グループホーム,,,,正社員,,,,,,,,,,,
767964,株式会社Days デイサービスGGフィットネス野々市店,,076-220-7939,石川県野々市市野代1-59,https://days-ggfitness.com/,https://xn--pckua2a7gp15o89zb.com/jb/365c5cf75f371a1b4f9135c798552dad,通所介護・デイサービス勤務の介護職／ヘルパー,ジョイスリー（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
356163,株式会社emicia. すばる和合の庄,,053-525-6127,静岡県浜松市中区和合町220-2571,https://www.pleiades-wagou.jp/,https://jp.indeed.com/rc/clk?jk=86a395b8117af11f&fccid=31f00643e3a2c597&vjs=3,デイサービスの介護スタッフ,FUJI（介護）,,森下篤志,https://www.pleiades-wagou.jp/contact,"9,000,000円",,デイサービス,,,,,,,,,,,,,,,,
932129,株式会社fellows訪問介護まごのて上七軒,,075-280-5678,京都府京都市上京区今出川通御前上る社家長屋町690番地3,https://www.magonote-group.com/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l4d127fbc6ba8ebcccce159cd9d7f0c13&p=t%2BAK7k0GmMUr0ZRss/MBmyQrM2snQyt2w4uL/k6awzas91MTxrxLD79qlFxFmR/LtpKcpSmFs6pxgC7FUV9VvVYtZ3Bbe2u8p1GqFeRxtPPUimFjPDTtIKQp53Z1zD9qoftjdNyTVdLGR2pfgAM6JLjDbgKRX3aJBUKeioCL1rmRdMFeNupzviu4HD%2Bt5p2mZPPWAwzxIkDsI4wxyTGNnPKpZeNPIbbvfM9sNSOAT8TvTQ%2Biee4%2BlGLhEJEw/2j7B2cem2qmqFDrMTJ%2BYhnGw4ej8pFP6xGeK0OwGYwmcURYUClQECI2h1F8E/r6nH8GEZy/mLutWl9vDNksIpZDt9ErspU0uqKCKpmCAEMhVeJCWf9oGr9lr%2BsOCQrzmd3HGUpUr4seAs2jZJTakFaJ6kt/sJDQcFnSBa8W8QwI6AY/PyFj%2BmIaNvPFPzN6FO3YjhGn0yzmcPwtClcJv4gdi1R6XoGv/7Ku3jXkrMNtg0sIplgschtVRMzVJ4bFlLug&ph=649359c9610e&phv=1,介護職員・ヘルパー／訪問介護事業所／初任者研修／日勤・夜勤,ニューアース（介護）, , ,,,,介護,介護,,,,正社員,,,,,,,,,,,
803279,株式会社Ｆｉｒｍａ　Ｈａｂｉｃｈｔ　フィルマリハビリデイサービス,,077-537-3917,滋賀県大津市国分１丁目３番３４号, ,https://xn--pckua2a7gp15o89zb.com/jb/b347ac3bd85eba4568065cce4c3c40ce,介護職員,ニューアース（介護）, , ,,,,介護,通所介護,,,,正社員,,,,,,,,,,,
900198,株式会社FTD管財ウェルネステラス富岡,,0274-63-9910,群馬県富岡市星田512,https://www.wellness-terrace.co.jp/,https://xn--pckua2a7gp15o89zb.com/jb/d5eb70a38007ed98eff009afa59fb5de,あなたらしい働き方を優先!／柔軟なシフト調整／日勤のみもOK／介護職,モンキークルー（介護）, , ,,,,介護,住宅型有料老人ホーム,,,,正社員,,,,,,,,,,,
830007,株式会社gene リハビリテーションデイサービス 仁 勝川,,0568-37-4105,愛知県春日井市八光町2丁目18番地2号,https://www.gene-llc.jp/,https://xn--pckua2a7gp15o89zb.com/jb/1be929077b9cd72a0fbdd5ee913a0a16,介護職／日曜固定休み／日勤のみ／人気のデイ求人／手当充実／資格が活かせ...,VIETA（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
371268,株式会社GIVE&give相談支援事業所みらいふ,,072-767-9171,兵庫県伊丹市春日丘6丁目20番地1伊丹坂ハイツ105号,https://milife-g-g.com/,https://jp.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BvROQC8ydCCUgU8GVf3HSOcZQsvryoORptF-Un0oqXR3OCiXha7KaOPb1kaCzDDcLFv-9xr0KyjaWOXOruc52lcyNF4fzxcwj7BbL1IETzclI3Qzy7uJGJY1poumZpkmHOS8lK1S68fVS2symqjEYxaBqWQoXWez5YK0AwA9qfJ8c9bl0WcngzXewJeWpaOP6m_OCdH4Ub_CddopVYgzqLcLLeVlqEND3WUMy4cdZXvPId9KVxJwcWCe4tMzoL3Sagz5t3dshYnEyPcXUW4TM07sskIhzHTyNFsKGBXJSIj4VjtO32tX_kgcdbYvrlGIGRsSCHRgnxPngw-viREyPnpMeqsc1sFY87v_RwslKgGKRtjFkFC3RhGp90n-JcE49h5kJy-h1onNcAm4YKiz0Vu5ynHykqTNNtKFRx_-mHfQiTy2W-D-KrZtY7AdgvFrmE2TMKES0A9kxgG5E3PGCyB7Gkd-lNAO0TcIyg-wuo4hxtXH1X0Vwp2wAvaiFLUvGKIg4eXizRjFRWHfUP34oS0wLDVPaSzXy8Y0DE0nx3-mMzFeBZccKM6XocvYFfVOIbT5hM0X_5TPomFqWQm61CMmQIaT7eXnHWsCnQ-U_h8xDbL8El37_6oIEMen4S29WsiLiGfCZWue7vcOrEv1r5pYcIrwtLKMJNvHLcO8qb5nLQ6JbW13MdcSEZOKhWoRynm9tKY8NKjCdtOV95DV797yz5JnJbkt8=&xkcb=SoC4-_M3Yem989TUDJ0ObzkdCdPP&p=7&fvj=1&vjs=3,【10/7】相談支援専門員/兵庫県/介護兼務なし,FUJI（介護）,,,664-0893,,,介護,,,,,,,,,,,,,,,,
800985,株式会社ＧＯＯＤ　ＳＭＩＬＥ　放課後等デイサービスグッドスマイル朝倉,,088-855-5876,高知県高知市針木本町９番８号, https://www.good-smile.jp/,https://xn--pckua2a7gp15o89zb.com/jb/af40ee0b7e384331b856629e6c5c75e3,児童指導員・社会保険完備の職場で児童指導員／指導員,ジョイスリー（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
135970,株式会社green-glassぐり～ん2デイサ...,,075-583-5538,京都市山科区椥辻東浦町7-5,https://xn--pckua2a7gp15o89zb.com/jb/9d473574710a50f99d08e23fa139274e,https://www.green-glass.net/,介護職・ヘルパー,圏友（介護）,,籔内 真理,607-8160,33,,,,,,,正社員,,,,,,,,,,,
931871,株式会社GreenApple リハビリテーションディGREENAPPLE,,078-945-9001,兵庫県神戸市兵庫区東山町4-19-1 ワコーレ東山1階,https://www.green-apple.jp/,https://xn--pckua2a7gp15o89zb.com/jb/c394ee9a2632b4c59f914082b19b132b,介護士,ニューアース（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
502080,株式会社H&Nホールディングスサービス付き高齢者向け住宅H&N宝慈苑,,0572-23-0301,岐阜県多治見市宝町八丁目35番地,http://heartofleaf.hn-hd.com/houjien.html,https://xn--pckua2a7gp15o89zb.com/jb/016fb3011cf22928fe3c5f3c515b3366?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=organic,サービス付き高齢者向け住宅での介護職,G&G（介護）,,,507-0054,,,介護,サービス付き高齢者向け住宅,,,,正社員,,,,,,,,,,,
147214,株式会社Happinessあさひ会,,055-287-6507,山梨県南アルプス市沢登15番地3,https://jp.indeed.com/rc/clk?jk=a6f50707d20f6dc1&fccid=4bc492208d6d32be&vjs=3,https://www.pocco.jp/,,さくら（介護）,,旭 洋一,400-0302,,,,,,,,,,,,,,,,,,,
886448,株式会社Happy Life デイサービス幸,,052-414-7682,愛知県海部郡大治町大字八ツ屋字裏畑35番地の2, ,https://xn--pckua2a7gp15o89zb.com/jbn/5823b61e94be2bbe4080cc4399e8e513,介護職・ヘルパー／通所介護／デイサービス／経験者歓迎／日勤のみ!,VIETA（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
800330,株式会社Happy 指定通所介護ひまわりさん,,0877-62-5403,香川県善通寺市弘田町906番地1, ,https://xn--pckua2a7gp15o89zb.com/jb/6e3de3de37e083073a10f8e66ec639e2,介護士,ジョイスリー（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
131857,株式会社HCL（エイチシーエル）,,072-958-5050,大阪府羽曳野市はびきの１丁目４−８,https://jp.indeed.com/rc/clk?jk=84c6d087111e7b6e&fccid=8796d24e2cdfd639&vjs=3,https://kaigo-hcl.com/,介護職員(ヘルスケアライフ野中)新着,圏友（介護）,,佐々木崇信,583-0872,40,,有料老人ホーム・居宅介護支援事業,,,,,正社員,,,,,,,,,,,
94014,株式会社HCLヘルスケアライフ野中,,072-931-5005,大阪府藤井寺市野中1-242-2,https://xn--pckua2a7gp15o89zb.com/jb/9115befd082b81586b5d0b48ea897e25,https://kaigo-hcl.com/,介護職／介護付き有料老人ホーム,ビイサイド（介護）,,,,16,,,,,,,正社員,,,,,,,,,,,
494173,株式会社HCLヘルスケアライフ野中,,072-931-5005,大阪府藤井寺市野中1-242-2,https://kaigo-hcl.com/,https://xn--pckua2a7gp15o89zb.com/jb/74cfae96bbc624beb5a2a573ecce4b47?utm_source=%E6%B1%82%E4%BA%BA%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9.com&utm_medium=organic,有料老人ホームでの介護業務,グローバル（介護）,,0,,16,,,,,,,正社員,,,,,,,,,,,
800590,株式会社Ｈｅｒｂｓ　ショートステイユーカリ,,087-841-3777,香川県高松市新田町甲478番地　介護複合施設ハーブス, http://www.herbs-kaigo.jp/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lec1fd01120dde881081b0691d59f833e&p=t%2BAK7k0GmMUr0ZRss/MBm%2BM0WMKXeRxp%2BOAzwLfnNYu%2BGma9Wjj6rx42%2BadxLW5n8LTcHmiwnFVmnmsHn4r6G2q2qAdgMCt/ZQjSH6%2BDvK87k05YArr%2BnnFXZvglnNjiNvJYbf3veWGhmm5OoxF98uDKDJQ81MKkfdgT7mzXvsjY7CV/XjmbeDGukPODfCzZcLl3OuFMBhK06LSF/BNINh5hUX5RL8HbaTgem9J7gFUbgrGfQLb5O8DkgYRw6QnD1c4nUiLnykUxIU/%2BXiqRsrDLG4vHS40LJMfXovO%2BtaEYzEyrIbIqofMbCsE8x7709PDZdYPBQrwF360%2B6I6%2B2/zoiw9ppCl0OatOcY20NacQQYUeQT5TAXErZpSvL0dsIVpo82SnuiwSpyD22wjFmGaKqGhZm1aVJIPkqVnoTulDsMa6zWOIK4Ru1WrsoLyHJsQSbmxO0aRdWziR1BEV80Dcv1JTAPCNxgS3QBmECf6f1ogODXt/CPtQIlJ8LqUGEM81YfxdCYON7j9O4NQMl1OPEWOsgU9cTsYstGyGXOc%3D&ph=6a088ab17c38&phv=1,社会保険完備の職場で介護職／ヘルパー,ジョイスリー（介護）, , ,,,,介護,短期入所生活介護,,,,正社員,,,,,,,,,,,
77935,株式会社HSケアサービスデイサービス宝,,0572-26-9743,岐阜県 多治見市宝町9丁目13番地,https://xn--pckua2a7gp15o89zb.com/jb/14bc1430178490d8197c29eaaa6b81c2,http://hs-care.co.jp/,デイサービスにて介護職員,ビイサイド（介護）,,髙柳　稔樹,,,,,,,,,"<li class=""c-icon c-icon-result p-result_icon p-result_employType"">正社員 / アルバイト・パート</li>",,,,,,,,,,,
741786,株式会社HSコーポレーション 花咲さの,,0283-27-0860,栃木県佐野市富岡町1454番地, ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l22487e9676adee0275b57dfcc6cac65b&p=t%2BAK7k0GmMUr0ZRss/MBm2SdlRIq6vcQ7phxkFywbke9AslABuu/GC2u6EM%2B8xijSTIJb2/2kJrxcF8coKzGYgYG0AP8nj3uEmbPeSNblsAD8xYgfAsrm7ZIto5RAHl/foss7pY3eEsvOV/uYD5ByRuO%2BXtD0zbMZYBxH%2BKw91yAMu1sU9R3cTjgA1OyV8Iec8UOZ918fvr81gB7cqpNgpaHCp4c/VDnFoUl8XmvjSaskIacoqQ4J7HQ3v7eCpEr76nO9cKLwcDVv%2BJj0OB26oyyrDwahSekzzUfL41cXeRKvz1FKvIQqCMFAJ1%2BRsGZMgDm%2BqAXCKya13trRip00tv3wwcccxplOdleeQ/FcdIDalGyQf57bOx2mGrUV0fbvaL5G7dJDqNW0YuARX5fJqfTfdLxCH0YOkR0TK15ieWXb0BpZuDULojrLmViQ73jEdKxK4KlqaVzV5KK9/8bYaLF9SkBa%2BsaMRnbvaLy7lIfoBOb0C9Tn%2Bv8rN/%2BCzUHsIYbcdiYZhbymflKP6TpCw%3D%3D&ph=94027ca39fe4&phv=1,介護職員・ヘルパーサービス付き高齢者専用住宅介護福祉士夜勤手当あり,SOUND（介護）, , ,,,,介護,グループホーム,,,,正社員,,,,,,,,,,,
932104,株式会社Hygge訪問介護まごのて清水,,075-279-5678,京都府京都市東山区渋谷通東大路東入常盤町471 ラフェンテ友1F,https://www.magonote-group.com/office/hkaigo-kiyomizu/,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lc3d1ab49e54258082465201578308529&p=t%2BAK7k0GmMUr0ZRss/MBm85ALbqtP4QRahCDGDO2HsvYrXx7/6cinF5EOPPpESW80WBehcN7%2BhG8xp91Am%2B0wWidAgfHqBQoe/89nqap1kc3qYOmry0M9KFMu83WT9awg/x7/FImSa6cN5KZAcgjxoWniVAzDgzLLb%2BMJzKdyXevgbHQ9IQ2H2nDWBRa6XAQyV6j9fxcYhGphu3kM7g5wA9VLLaJc12IZd6%2Bwja4yO5jwHbuLIMdnM7n/6hCLGYiP3EWtDqXgKeOc63jGPIsOtJx8UQuow4A0q%2BrJEIdQr1HCbEN0GSe0xuMWsGM8MGQkbwWFP4PMKPDA6bAO41sU6TN4fKJhV4zrBG8GdULNl7FgBWuQxtQxCnl28RvEab1694xYpqhcT8Jvf4gaNsUqLm%2BrU9w16Vw6IigoX7appLsJMVkIDOwNG/A6apJ%2B%2B3%2BisOdRhXqeIpMQMo0PwVa79pXG71aVE1Au3/VnVFK8WoCwDDRG5Gyt8l9xrZXciTTm40V9csfLhFOT1/KHA7GgflXLWOllwAMc3Y88F9x7UM%3D&ph=57c97e6bab6d&phv=1,介護職員・ヘルパー／重度訪問介護／介護福祉士／日勤・夜勤,ニューアース（介護）, , ,,,,介護,介護,,,,正社員,,,,,,,,,,,
783100,株式会社ifD イフディケア福井北,株式会社ifD,0776-89-1904,福井県福井市福井市経田2丁目1001　フェルティ経田102号,,https://xn--pckua2a7gp15o89zb.com/jb/6a5fab74420dacfffed1a3f1c359a7b0,サービス提供責任者／在宅／訪問サービス／さくら・介護ステーション福井北,ジョイスリー（介護）,sakurafukui@if-d.net,三笠 茜,,,,介護,デイケア,,,,正社員,,,,,,,,,,,
356599,株式会社IROHA’s デイサービスいろは,,0544-66-3955,静岡県富士宮市西小泉町43-3,http://hp.kaipoke.biz/b97/,https://jp.indeed.com/company/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-%E4%B8%83%E6%A0%84%E3%83%AD%E3%83%BC%E3%82%BF%E3%82%B9%E3%82%B1%E3%82%A2%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97(%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-%E5%86%85%E7%94%B0%E7%A5%A5%E4%B8%89%E5%BB%BA%E7%AF%89%E4%BA%8B%E5%8B%99%E6%89%80)/jobs/-f7c6a08b042c67f9?fccid=ffae9754e2d687f9&vjs=3,介護職員のお仕事,FUJI（介護）,,迫内　弓子,,,,地域密着型通所介護,,,,,,,,,,,,,,,,
767872,株式会社itosie itosieデイサービス,,076-201-8560,石川県金沢市問屋町1-37, https://www.itosie.jp/,https://xn--pckua2a7gp15o89zb.com/jb/fd0705fc44b3a7dea8c87a8520ea631c,デイサービス介護スタッフ・社会保険完備の職場で介護職／ヘルパー,ジョイスリー（介護）, , ,,,,介護,デイサービス,,,,正社員,,,,,,,,,,,
683031,株式会社ｉｔｏｓｉｅ．,,076-201-8560,石川県金沢市問屋町1-37,https://www.itosie.jp/,https://xn--pckua2a7gp15o89zb.com/jb/373ff8d1b4c969b6b19f28888ab445ec,デイサービスでの介護スタッフ,SOUND（介護）,info@itosie.com,中居 美己,920-0061,,,介護,デイサービス他,,,,正社員,,,,,,,,,,,
